account,artist,song_name,song_rank
复兴手工艺,The Ting Tings,Thats Not My Name,0
复兴手工艺,The Ting Tings,That's Not My Name,0
复兴手工艺,Lu1,伸手摘下了,0
复兴手工艺,Lu1,男孩 14 remix,0
复兴手工艺,Aura Dione,Friends,0
复兴手工艺,Bad Suns,Cardiac Arrest,0
复兴手工艺,The Cardigans,Gordon's Gardenparty,0
复兴手工艺,Diana Boncheva,Purple Passion,0
复兴手工艺,Coldplay,Trouble,0
复兴手工艺,Raujika,Tell Them I Love You,0
复兴手工艺,Nieve,Chronic Intoxication,0
复兴手工艺,Cher Lloyd,I Wish (Radio Edit),0
复兴手工艺,The Seasons,Copernicus,0
复兴手工艺,二手玫瑰,火车快开,0
复兴手工艺,二手玫瑰,白花 (致昂山素季),0
复兴手工艺,Air,Playground Love,0
复兴手工艺,李波与重庆孩子,晚霞,0
复兴手工艺,Pomplamoose,Mister Sandman,0
复兴手工艺,Brown Eyes,벌써 일년,0
复兴手工艺,I Monster,The Blue Wrath,0
复兴手工艺,I Monster,Daydream in Blue,0
复兴手工艺,范逸臣,爱太遥远,0
复兴手工艺,范逸臣,放生,0
复兴手工艺,Steely Dan,Only A Fool Would Say That,0
复兴手工艺,Michiel Braam,Songs Each Night,0
