account,artist,song_name,song_rank
steven-yang,陈涌海,张木生,0
steven-yang,李双泽,老鼓手,0
steven-yang,黄舒骏,马不停蹄的忧伤,0
steven-yang,万能青年旅店,杀死那个石家庄人,0
steven-yang,黄舒骏,马不停蹄的忧伤,0
湘雪云歌,Kevin Kern,Into the Realm,0
湘雪云歌,王力宏,春雨里洗过的太阳,0
湘雪云歌,曹格, 一起飞,0
湘雪云歌,王力宏,不完整的旋律,0
湘雪云歌,那英,用爱把世界连起来,0
湘雪云歌,Kevin Kern,The Moon Represents My Heart,0
湘雪云歌,Yanni,In The Morning Light,0
湘雪云歌,黄永灿,故事的结局 ,0
湘雪云歌,김수현,또 다른 길 (부제: 기다린 시간) (Piano ver.),0
湘雪云歌,김수현,또 다른 길 (부제: 기다린 시간) (Piano ver.) (inst.),0
湘雪云歌,麗美,A WINTER STORY,0
湘雪云歌,刘若英,我们没有在一起,0
湘雪云歌,张学友,这么近(那么远),0
湘雪云歌,陈奕迅,幸福摩天轮,0
湘雪云歌,张学友,好久不见,0
湘雪云歌,Linda Pritchard,Crying In The Rain,0
湘雪云歌,Darin,One True Flame,0
湘雪云歌,有声奶昔,法国人惹的祸,0
湘雪云歌,Matthew Morrison,Summer Rain,0
湘雪云歌,Jem,Wish I,0
湘雪云歌,Sabrina,Bleeding Love,0
湘雪云歌,汪佩蓉,放手,0
湘雪云歌,薛之谦,其实,0
湘雪云歌,张惠妹,我最亲爱的,0
湘雪云歌,张震岳,在凌晨,0
王珂Benjamin,Straight No Chaser,I'm Yours / Somewhere Over The Rainbow,0
王珂Benjamin,Sarah Brightman,Scéne d'Amour,0
王珂Benjamin,DJ OKAWARI,Flower Dance,0
王珂Benjamin,Libera,Ave Maria,0
王珂Benjamin,Shardad Rohani,Connie's Butterfly ,0
王珂Benjamin,Luther Vandross,Endless Love,0
王珂Benjamin,Sheryl Crow,Always on Your Side,0
王珂Benjamin,Mariah Carey,Whenever You Call,0
王珂Benjamin,Lady Antebellum,Just A Kiss,0
王珂Benjamin,Roberta Flack,Tonight I Celebrate My Love,0
王珂Benjamin,Gareth Gates,Anyone of Us (Stupid Mistake),0
王珂Benjamin,Kelly Clarkson,Because Of You,0
王珂Benjamin,Westlife,When You Tell Me That You Love Me,0
王珂Benjamin,Deutschland Sucht den Superstar,Cry on My Shoulder,0
王珂Benjamin,Savannah Outen,Two Is Better Than One,0
王珂Benjamin,Hugh Grant ,Way Back Into Love,0
GeograA,女子十二乐坊,从开始直到现在,0
GeograA,郭静,每一天都不同,0
GeograA,林俊杰,江南,0
GeograA,Pitbull,Timber,0
GeograA,朴树,生如夏花,0
GeograA,刘若英,幸福就是,0
莫洛伊　　　　　̶M̶I,叶小刚,很有节奏的女生慢摇dj,0
莫洛伊　　　　　̶M̶I,叶小刚,超重电音,0
莫洛伊　　　　　̶M̶I,Daft Punk,Instant Crush,0
莫洛伊　　　　　̶M̶I,riya,木漏れ日,0
莫洛伊　　　　　̶M̶I,Suicide,Girl,0
莫洛伊　　　　　̶M̶I,周柏豪,同行,0
宝贝,群星,其实我很在乎你,0
宝贝,晶灵,背叛情歌,0
宝贝,群星,爱不在就放手,0
陳嶼銘,The White Tulips,White Clouds,0
陳嶼銘,The White Tulips,Honeysuckle,0
陳嶼銘,X-Ray Dog,Heartbeat of Man,0
陳嶼銘,萤火虫,含羞草    ,0
陳嶼銘,Sviatoslav Richter,"The Well-Tempered Clavier, Book 1/Prelude and Fugue No. 1 in C major, BWV 846",0
陳嶼銘,Glenn Gould,Bach: Goldberg Variations - Aria,0
陳嶼銘,Amanda Palmer,Creep (Hungover at Soundcheck in Berlin),0
陳嶼銘,Klever,trip #1,0
陳嶼銘,Luigi Rubino,Voice In The Eyes,0
陳嶼銘,The Yours,Honey Treats,0
陳嶼銘,Loser Superhero,Happy Pink Fresco ,0
陳嶼銘,The Workhouse,Peacon,0
陳嶼銘,Childs,Mariana,0
陳嶼銘,Every Silver Lining Has A Cloud,A stolen life,0
陳嶼銘,カルメン・マキ,にぎわい,0
陳嶼銘,Followed By Ghosts,Discussion Among Men,0
陳嶼銘,官灵芝,忘记他,0
陳嶼銘,Kauan,Ommeltu polku,0
陳嶼銘,吴金黛,山海之歌,0
陳嶼銘,陈升,你一直在玩,0
陳嶼銘,群星,海上花,0
陳嶼銘,The Caretaker,When The Dog Days Were Drawing To An End,0
陳嶼銘,This Will Destroy You,Leather Wings,0
陳嶼銘,刮刮乐,情人劫,0
陳嶼銘,千住明,運命と絆,0
